=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000034 死前軌跡（最近 100 筆瀕死快照） ---
    tick=56799 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56800 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56801 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56802 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56803 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56804 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56805 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56806 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56807 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56808 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56809 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56810 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56811 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56812 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56813 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56814 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56815 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56816 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56817 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56818 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56819 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56820 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56821 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56822 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56823 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56824 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56825 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56826 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56827 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56828 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56829 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56830 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56831 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56832 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56833 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56834 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56835 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56836 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56837 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56838 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56839 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56840 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56841 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56842 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56843 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56844 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56845 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56846 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56847 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56848 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
