=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000036 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50799 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50800 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50801 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50802 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50803 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50804 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50805 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50806 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50807 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50808 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50809 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50810 task=idle prio=0 reason= combat_target=10 option= food_days=0.00 pop=1 famine_days=0.0 tile=(10, 27) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
