[MARKET-RELAY] tick=1160 team=4 learned market@(9, 11) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=1300 team=40 learned market@(11, 18) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=1300 team=60 learned market@(19, 7) via relay (dist=8 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=1450 team=47 learned market@(11, 18) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=1450 team=47 learned market@(19, 7) via relay (dist=8 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=1640 team=30 learned market@(19, 7) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=1640 team=30 learned market@(22, 4) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=1940 team=63 learned market@(14, 22) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2170 team=22 learned market@(12, 27) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=2300 team=62 learned market@(9, 11) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2400 team=66 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2400 team=67 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2410 team=26 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2530 team=4 learned market@(22, 4) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2530 team=27 learned market@(16, 5) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2700 team=28 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=2900 team=68 learned market@(16, 5) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2990 team=49 learned market@(9, 14) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=2990 team=50 learned market@(9, 14) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3290 team=56 learned market@(9, 14) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3290 team=57 learned market@(9, 14) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3320 team=39 learned market@(19, 7) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3320 team=39 learned market@(22, 4) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3320 team=39 learned market@(9, 11) via relay (dist=11 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3320 team=46 learned market@(19, 7) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3520 team=31 learned market@(19, 7) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3610 team=43 learned market@(19, 7) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3610 team=43 learned market@(22, 4) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=3610 team=43 learned market@(9, 11) via relay (dist=10 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=4500 team=36 learned market@(9, 11) via relay (dist=8 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=4640 team=8 learned market@(8, 22) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=4810 team=22 learned market@(10, 27) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5060 team=11 learned market@(19, 2) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=5060 team=11 learned market@(18, 4) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5110 team=18 learned market@(12, 27) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5140 team=34 learned market@(8, 22) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5660 team=33 learned market@(9, 11) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5770 team=48 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5770 team=48 learned market@(22, 4) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=5920 team=56 learned market@(16, 5) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=5920 team=56 learned market@(22, 4) via relay (dist=11 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=5920 team=56 learned market@(19, 7) via relay (dist=8 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=6010 team=24 learned market@(8, 22) via relay (dist=10 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=6010 team=0 learned market@(16, 16) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=6060 team=51 learned market@(16, 16) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=6250 team=10 learned market@(16, 16) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=6300 team=57 learned market@(16, 5) via relay (dist=7 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=6300 team=57 learned market@(19, 7) via relay (dist=10 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=6500 team=63 learned market@(12, 27) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=6560 team=1 learned market@(22, 4) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=6560 team=1 learned market@(19, 7) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=6560 team=1 learned market@(16, 5) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7080 team=39 learned market@(23, 0) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7100 team=11 learned market@(23, 0) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7110 team=25 learned market@(12, 27) via relay (dist=7 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7110 team=25 learned market@(14, 22) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7110 team=25 learned market@(8, 22) via relay (dist=11 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7260 team=55 learned market@(23, 0) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7300 team=18 learned market@(16, 16) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7320 team=51 learned market@(12, 27) via relay (dist=12 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7450 team=0 learned market@(12, 27) via relay (dist=12 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7450 team=28 learned market@(9, 11) via relay (dist=9 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7760 team=3 learned market@(19, 7) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7760 team=3 learned market@(22, 4) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=7930 team=10 learned market@(12, 27) via relay (dist=11 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=7930 team=46 learned market@(12, 27) via relay (dist=11 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=8140 team=6 learned market@(15, 22) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=8220 team=52 learned market@(19, 7) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=8220 team=52 learned market@(22, 4) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=8340 team=23 learned market@(12, 27) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=8350 team=24 learned market@(17, 24) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=8360 team=7 learned market@(17, 24) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=8460 team=23 learned market@(14, 28) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=8460 team=34 learned market@(14, 28) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=9610 team=48 learned market@(14, 13) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=9920 team=11 learned market@(16, 5) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=10020 team=44 learned market@(19, 7) via relay (dist=9 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=10060 team=40 learned market@(17, 13) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=10570 team=31 learned market@(24, 12) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=10810 team=26 learned market@(28, 0) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=11160 team=51 learned market@(21, 20) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=11160 team=51 learned market@(19, 21) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=11160 team=34 learned market@(16, 16) via relay (dist=7 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=11290 team=0 learned market@(21, 20) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=11290 team=0 learned market@(19, 21) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=11530 team=5 learned market@(0, 26) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=12040 team=23 learned market@(14, 20) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13000 team=57 learned market@(25, 1) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13000 team=57 learned market@(23, 3) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13000 team=57 learned market@(21, 5) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13000 team=57 learned market@(22, 4) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13410 team=24 learned market@(24, 14) via relay (dist=9 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13450 team=4 learned market@(21, 5) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13450 team=4 learned market@(23, 3) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13640 team=38 learned market@(19, 8) via relay (dist=7 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13640 team=38 learned market@(18, 8) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13640 team=38 learned market@(18, 9) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13860 team=28 learned market@(18, 4) via relay (dist=4 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13940 team=36 learned market@(18, 9) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13940 team=40 learned market@(16, 5) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=13940 team=40 learned market@(19, 2) via relay (dist=5 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=13940 team=40 learned market@(28, 0) via relay (dist=6 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=14010 team=19 learned market@(9, 11) via relay (dist=5 > vision=3, msg=order_sell) — NOT vision
[MARKET-RELAY] tick=14100 team=23 learned market@(24, 14) via relay (dist=8 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=14170 team=26 learned market@(19, 2) via relay (dist=4 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=14170 team=26 learned market@(18, 9) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
[MARKET-RELAY] tick=14260 team=41 learned market@(8, 10) via relay (dist=6 > vision=3, msg=order_buy) — NOT vision
