=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000017 死前軌跡（最近 100 筆瀕死快照） ---
    tick=32899 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32900 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32901 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32902 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32903 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32904 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32905 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32906 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32907 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32908 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=32909 task=idle prio=0 reason= combat_target=61 option= food_days=0.00 pop=1 famine_days=0.0 tile=(7, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
