=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000033 死前軌跡（最近 100 筆瀕死快照） ---
    tick=51499 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51500 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51501 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51502 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51503 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51504 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51505 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51506 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51507 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51508 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51509 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51510 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51511 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51512 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51513 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51514 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51515 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51516 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51517 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51518 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51519 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51520 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51521 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51522 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51523 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51524 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51525 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51526 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51527 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51528 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51529 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51530 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51531 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51532 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51533 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51534 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51535 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51536 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51537 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51538 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51539 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51540 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51541 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51542 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51543 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51544 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51545 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51546 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51547 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51548 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51549 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51550 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51551 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51552 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51553 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51554 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51555 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51556 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51557 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51558 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51559 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51560 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51561 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51562 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51563 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51564 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51565 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51566 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51567 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51568 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51569 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51570 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51571 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51572 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51573 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51574 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51575 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51576 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51577 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51578 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51579 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51580 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51581 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51582 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51583 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51584 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51585 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51586 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51587 task=idle prio=0 reason= combat_target=49 option= food_days=0.00 pop=1 famine_days=0.0 tile=(21, 0) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
