=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000027 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50799 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50800 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50801 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50802 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50803 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50804 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50805 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50806 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50807 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50808 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50809 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50810 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50811 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50812 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50813 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50814 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50815 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50816 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50817 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50818 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50819 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50820 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50821 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50822 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50823 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
