[FAC-SPEC] tick=500 team=0 tile=(9, 14) chose=workshop | farming=1.54 weaponsmith=0.66 smeltery=0.54 workshop=4.44 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=0 tile=(13, 3) chose=workshop | farming=1.13 weaponsmith=3.98 smeltery=3.22 workshop=4.44 | urgency=0.00 ore_iron_nearby=60.0
[FAC-SPEC] tick=500 team=0 tile=(15, 8) chose=apothecary | farming=1.34 weaponsmith=0.66 smeltery=0.54 workshop=4.44 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=0 tile=(23, 9) chose=apothecary | farming=1.26 weaponsmith=3.98 smeltery=3.22 workshop=4.44 | urgency=0.00 ore_iron_nearby=54.0
[FAC-SPEC] tick=500 team=0 tile=(24, 11) chose=apothecary | farming=1.54 weaponsmith=0.66 smeltery=0.54 workshop=4.44 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=0 tile=(24, 14) chose=workshop | farming=1.20 weaponsmith=0.66 smeltery=0.54 workshop=4.44 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=10 tile=(10, 27) chose=workshop | farming=1.22 weaponsmith=3.19 smeltery=3.07 workshop=4.48 | urgency=0.00 ore_iron_nearby=162.0
[FAC-SPEC] tick=500 team=10 tile=(18, 4) chose=apothecary | farming=1.09 weaponsmith=0.53 smeltery=0.51 workshop=4.48 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=10 tile=(23, 1) chose=apothecary | farming=1.11 weaponsmith=3.19 smeltery=3.07 workshop=4.48 | urgency=0.00 ore_iron_nearby=244.0
[FAC-SPEC] tick=500 team=10 tile=(23, 17) chose=stable | farming=1.39 weaponsmith=0.53 smeltery=0.51 workshop=4.48 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=12 tile=(1, 15) chose=armorsmith | farming=1.34 weaponsmith=0.51 smeltery=0.50 workshop=4.40 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=12 tile=(25, 4) chose=apothecary | farming=1.22 weaponsmith=3.09 smeltery=3.03 workshop=2.20 | urgency=0.00 ore_iron_nearby=36.0
[FAC-SPEC] tick=500 team=12 tile=(27, 4) chose=apothecary | farming=1.07 weaponsmith=0.51 smeltery=0.50 workshop=4.40 | urgency=0.00 ore_iron_nearby=0.0
