Godot Engine v4.2.2.stable.official.15073afe3 - https://godotengine.org
 
[GameSetup] 完成：49 teams, 8 factions, 129 persons
=== _tmp_gateb_measure_bed: seed=1337 months=4 SPEC_N=0 | teams=49 start_pop=444 weaponsmith=0 armorsmith=0 ===
[progress] tick=0 月=0 teams=49 pop=444 mkt_material=0 weaponsmith=0 weapon_low=177
[SoloAI] Team32 → 貿易 (囤貨)
[SoloAI] Team33 → 覓食 (覓食)
[SoloAI] Team34 → 覓食 (覓食)
[SoloAI] Team35 → 貿易 (囤貨)
[SoloAI] Team36 → 覓食 (覓食)
[SoloAI] Team37 → 覓食 (覓食)
[SoloAI] Team38 → 覓食 (覓食)
[SoloAI] Team39 → 覓食 (覓食)
[SoloAI] Team40 → 覓食 (覓食)
[SoloAI] Team41 → 覓食 (覓食)
[SoloAI] Team42 → 貿易 (囤貨)
[SoloAI] Team43 → 貿易 (囤貨)
[SoloAI] Team44 → 覓食 (覓食)
[SoloAI] Team45 → 建設 (建設)
[SoloAI] Team46 → 覓食 (覓食)
[SoloAI] Team47 → 覓食 (覓食)
[Order] Team0 sell weapon_melee_low ×3 (oid=0)
[Order] Team0 sell material ×33 (oid=1)
[Order] Team0 sell food ×1265 (oid=2)
[Order] Team0 buy weapon_ranged_low ×3 (oid=3)
[Order] Team1 sell weapon_melee_low ×1 (oid=4)
[Order] Team1 sell material ×30 (oid=5)
[Order] Team1 buy weapon_ranged_low ×1 (oid=6)
[Order] Team2 sell weapon_melee_low ×1 (oid=7)
[Order] Team2 sell material ×30 (oid=8)
[Order] Team2 buy weapon_ranged_low ×2 (oid=9)
[Order] Team3 sell weapon_melee_low ×1 (oid=10)
[Order] Team3 sell material ×30 (oid=11)
[Order] Team3 buy weapon_ranged_low ×2 (oid=12)
[Order] Team4 sell material ×30 (oid=13)
[Order] Team4 buy weapon_ranged_low ×2 (oid=14)
[Order] Team5 sell weapon_melee_low ×4 (oid=15)
[Order] Team5 sell material ×64 (oid=16)
[Order] Team5 sell food ×1272 (oid=17)
[Order] Team5 buy weapon_ranged_low ×3 (oid=18)
[Order] Team6 buy weapon_ranged_low ×2 (oid=19)
[Order] Team7 buy weapon_ranged_low ×1 (oid=20)
[Order] Team8 buy weapon_ranged_low ×1 (oid=21)
[Order] Team9 buy weapon_ranged_low ×1 (oid=22)
[Order] Team10 sell weapon_melee_low ×4 (oid=23)
[Order] Team10 sell material ×30 (oid=24)
[Order] Team10 sell food ×1261 (oid=25)
[Order] Team10 buy weapon_ranged_low ×3 (oid=26)
[Order] Team11 sell weapon_melee_low ×1 (oid=27)
[Order] Team11 sell material ×30 (oid=28)
[Order] Team11 buy weapon_ranged_low ×1 (oid=29)
[Order] Team12 sell weapon_melee_low ×4 (oid=30)
[Order] Team12 sell material ×62 (oid=31)
[Order] Team12 sell food ×1267 (oid=32)
[Order] Team12 buy weapon_ranged_low ×2 (oid=33)
[Order] Team13 sell weapon_melee_low ×1 (oid=34)
[Order] Team13 sell material ×30 (oid=35)
[Order] Team13 buy weapon_ranged_low ×1 (oid=36)
[Order] Team14 buy weapon_ranged_low ×2 (oid=37)
[Order] Team15 buy weapon_ranged_low ×1 (oid=38)
[Order] Team16 buy weapon_ranged_low ×1 (oid=39)
[Order] Team17 sell weapon_melee_low ×4 (oid=40)
[Order] Team17 sell material ×43 (oid=41)
[Order] Team17 sell food ×1271 (oid=42)
[Order] Team17 buy weapon_ranged_low ×2 (oid=43)
[Order] Team18 buy weapon_ranged_low ×2 (oid=44)
[Order] Team19 sell weapon_melee_low ×1 (oid=45)
[Order] Team19 sell material ×30 (oid=46)
[Order] Team19 buy weapon_ranged_low ×1 (oid=47)
[Order] Team20 sell weapon_melee_low ×1 (oid=48)
