Godot Engine v4.2.2.stable.official.15073afe3 - https://godotengine.org
 
[GameSetup] 完成：49 teams, 8 factions, 129 persons
=== _tmp_produce_measure_bed: seed=1337 months=3 | teams=49 pop=444 weaponsmith=0 workshop=0 ===
[progress] tick=0 月=0 teams=49 workshop=0 weaponsmith=0 manu_task=0 g_tools=0 g_goods=0 manu_noop=0
[SoloAI] Team32 → 貿易 (囤貨)
[SoloAI] Team33 → 覓食 (覓食)
[SoloAI] Team34 → 覓食 (覓食)
[SoloAI] Team35 → 貿易 (囤貨)
[SoloAI] Team36 → 覓食 (覓食)
[SoloAI] Team37 → 覓食 (覓食)
[SoloAI] Team38 → 覓食 (覓食)
[SoloAI] Team39 → 覓食 (覓食)
[SoloAI] Team40 → 覓食 (覓食)
[SoloAI] Team41 → 覓食 (覓食)
[SoloAI] Team42 → 貿易 (囤貨)
[SoloAI] Team43 → 貿易 (囤貨)
[SoloAI] Team44 → 覓食 (覓食)
[SoloAI] Team45 → 建設 (建設)
[SoloAI] Team46 → 覓食 (覓食)
[SoloAI] Team47 → 覓食 (覓食)
[Order] Team0 sell weapon_melee_low ×3 (oid=0)
[Order] Team0 sell material ×33 (oid=1)
[Order] Team0 sell food ×1265 (oid=2)
[Order] Team0 buy weapon_ranged_low ×3 (oid=3)
[Order] Team0 buy tools ×3 (oid=4)
[Order] Team1 sell weapon_melee_low ×1 (oid=5)
[Order] Team1 sell material ×30 (oid=6)
[Order] Team1 buy weapon_ranged_low ×1 (oid=7)
[Order] Team1 buy tools ×1 (oid=8)
[Order] Team2 sell weapon_melee_low ×1 (oid=9)
[Order] Team2 sell material ×30 (oid=10)
[Order] Team2 buy weapon_ranged_low ×2 (oid=11)
[Order] Team2 buy tools ×1 (oid=12)
[Order] Team3 sell weapon_melee_low ×1 (oid=13)
[Order] Team3 sell material ×30 (oid=14)
[Order] Team3 buy weapon_ranged_low ×2 (oid=15)
[Order] Team3 buy tools ×1 (oid=16)
[Order] Team4 sell material ×30 (oid=17)
[Order] Team4 buy weapon_ranged_low ×2 (oid=18)
[Order] Team4 buy tools ×1 (oid=19)
[Order] Team5 sell weapon_melee_low ×4 (oid=20)
[Order] Team5 sell material ×64 (oid=21)
[Order] Team5 sell food ×1272 (oid=22)
[Order] Team5 buy weapon_ranged_low ×3 (oid=23)
[Order] Team5 buy tools ×1 (oid=24)
[Order] Team6 buy weapon_ranged_low ×2 (oid=25)
[Order] Team6 buy tools ×1 (oid=26)
[Order] Team7 buy weapon_ranged_low ×1 (oid=27)
[Order] Team8 buy weapon_ranged_low ×1 (oid=28)
[Order] Team8 buy tools ×1 (oid=29)
[Order] Team9 buy weapon_ranged_low ×1 (oid=30)
[Order] Team9 buy tools ×1 (oid=31)
[Order] Team10 sell weapon_melee_low ×4 (oid=32)
[Order] Team10 sell material ×30 (oid=33)
[Order] Team10 sell food ×1261 (oid=34)
[Order] Team10 buy weapon_ranged_low ×3 (oid=35)
[Order] Team10 buy tools ×2 (oid=36)
[Order] Team11 sell weapon_melee_low ×1 (oid=37)
[Order] Team11 sell material ×30 (oid=38)
[Order] Team11 buy weapon_ranged_low ×1 (oid=39)
[Order] Team11 buy tools ×1 (oid=40)
[Order] Team12 sell weapon_melee_low ×4 (oid=41)
[Order] Team12 sell material ×62 (oid=42)
[Order] Team12 sell food ×1267 (oid=43)
[Order] Team12 buy weapon_ranged_low ×2 (oid=44)
[Order] Team12 buy tools ×1 (oid=45)
[Order] Team13 sell weapon_melee_low ×1 (oid=46)
[Order] Team13 sell material ×30 (oid=47)
[Order] Team13 buy weapon_ranged_low ×1 (oid=48)
[Order] Team13 buy tools ×1 (oid=49)
[Order] Team14 buy weapon_ranged_low ×2 (oid=50)
