# S4b 事件瞬醒覆蓋對帳｜cfg=warring_states warm=7200 tick
# actor 母體：person=137 team=67 faction=8 indep=26
#
## ① 死水三欄（A 相 7200 tick 正常跑；三欄互斥、相加 = 該支 fire 次數）
# 支別 | event(純事件提早) | both(事件+本來就到期) | cadence(純週期) | 合計
GOAL|595|25|63|683
LADDER|303|0|19|322
STRATEGIC|111|0|4|115
ALLIANCE|111|0|4|115
BETRAY|72|0|4|76
INFRA|72|0|4|76
FACTION_UPDATE|72|0|4|76
INDEP_INFRA|103|0|16|119
INTENT|72|0|12|84
#
## ② 陰性對照（C 相 600 tick，不注射）：production 自己 emit 造成的 event 醒次數
# ★『該窗共 fire』是分母：它 =0 代表這支整個窗沒被走訪（no_run），不是沒醒
ctrl|GOAL|30|52
ctrl|LADDER|21|25
ctrl|STRATEGIC|7|9
ctrl|ALLIANCE|7|9
ctrl|BETRAY|7|9
ctrl|INFRA|7|9
ctrl|FACTION_UPDATE|7|9
ctrl|INDEP_INFRA|7|10
ctrl|INTENT|7|9
#
## ②b 既有 tap（reeval.event，無後綴＝_should_reeval 的決策支，這一刀沒碰過它）
# 對照(不注射,600 tick)=15 ｜ 注射(31 kind × 600 tick)=19490
#
## ③ 靜態：閘上有沒有 kind 過濾（例外必須寫理由）
# is_pending 那幾行提到 kind 字面量的次數 = 0
#
## ④ 279 格（9 支 × 31 kind）；★核心 7 支 = 217 格單獨對帳
# 欄位：kind|support|bucket|event|both
combat_start|GOAL|woken|119|18
combat_start|LADDER|woken|748|0
combat_start|STRATEGIC|woken|86|2
combat_start|ALLIANCE|woken|86|2
combat_start|BETRAY|woken|86|2
combat_start|INFRA|woken|86|2
combat_start|FACTION_UPDATE|woken|86|2
combat_start|INDEP_INFRA|woken|286|4
combat_start|INTENT|woken|86|2
combat_end|GOAL|woken|122|14
combat_end|LADDER|woken|748|0
combat_end|STRATEGIC|woken|88|0
combat_end|ALLIANCE|woken|88|0
combat_end|BETRAY|woken|88|0
combat_end|INFRA|woken|88|0
combat_end|FACTION_UPDATE|woken|88|0
combat_end|INDEP_INFRA|woken|293|4
combat_end|INTENT|woken|88|0
famine_warning|GOAL|woken|121|15
famine_warning|LADDER|woken|766|0
famine_warning|STRATEGIC|woken|88|0
famine_warning|ALLIANCE|woken|88|0
famine_warning|BETRAY|woken|88|0
famine_warning|INFRA|woken|88|0
famine_warning|FACTION_UPDATE|woken|88|0
famine_warning|INDEP_INFRA|woken|294|3
famine_warning|INTENT|woken|88|0
faction_defect|GOAL|woken|123|15
faction_defect|LADDER|woken|800|0
faction_defect|STRATEGIC|woken|88|0
faction_defect|ALLIANCE|woken|88|0
faction_defect|BETRAY|woken|88|0
faction_defect|INFRA|woken|88|0
faction_defect|FACTION_UPDATE|woken|88|0
faction_defect|INDEP_INFRA|woken|305|3
faction_defect|INTENT|woken|88|0
faction_establish|GOAL|woken|110|28
faction_establish|LADDER|woken|790|0
faction_establish|STRATEGIC|woken|85|3
faction_establish|ALLIANCE|woken|85|3
faction_establish|BETRAY|woken|85|3
faction_establish|INFRA|woken|85|3
faction_establish|FACTION_UPDATE|woken|85|3
faction_establish|INDEP_INFRA|woken|300|8
faction_establish|INTENT|woken|85|3
diplomacy|GOAL|woken|121|17
diplomacy|LADDER|woken|809|0
diplomacy|STRATEGIC|woken|87|1
diplomacy|ALLIANCE|woken|87|1
diplomacy|BETRAY|woken|87|1
diplomacy|INFRA|woken|87|1
diplomacy|FACTION_UPDATE|woken|87|1
diplomacy|INDEP_INFRA|woken|306|2
diplomacy|INTENT|woken|87|1
extortion|GOAL|woken|118|19
extortion|LADDER|woken|823|0
extortion|STRATEGIC|woken|87|1
extortion|ALLIANCE|woken|87|1
extortion|BETRAY|woken|87|1
extortion|INFRA|woken|87|1
extortion|FACTION_UPDATE|woken|87|1
extortion|INDEP_INFRA|woken|318|1
extortion|INTENT|woken|87|1
subjugate|GOAL|woken|118|18
subjugate|LADDER|woken|844|0
subjugate|STRATEGIC|woken|86|2
subjugate|ALLIANCE|woken|86|2
subjugate|BETRAY|woken|86|2
subjugate|INFRA|woken|86|2
subjugate|FACTION_UPDATE|woken|86|2
subjugate|INDEP_INFRA|woken|314|5
subjugate|INTENT|woken|86|2
tribute|GOAL|woken|122|18
tribute|LADDER|woken|865|0
tribute|STRATEGIC|woken|86|2
tribute|ALLIANCE|woken|86|2
tribute|BETRAY|woken|86|2
tribute|INFRA|woken|86|2
tribute|FACTION_UPDATE|woken|86|2
tribute|INDEP_INFRA|woken|315|4
tribute|INTENT|woken|86|2
aid_given|GOAL|woken|127|11
aid_given|LADDER|woken|872|0
aid_given|STRATEGIC|woken|88|0
