# 分層（systems 2026-09-11：★比率跌而到場【數】漲 ⇒ 用比率判會把可能的成功判成失敗）
# 同一份資料的再切法，母體與 docs/measurements/2026-09-11-commit-priority-before-after.txt 逐字相同
# （床 interrupt_premeasure_bed｜warring_states｜43200 tick＝30 天｜seed 1337｜長程＝起算距離 ≥3 格）
#
# ★總量：到場 87 → 116（+33%）｜起算 374 → 655（+75%）⇒ ★★比率 23.3% → 17.7% 的【分母效應】確認
# 欄位：start=起算、arr=到場、rate=到場率、dDenom=分母變化；B=before(main)、A=after(本票)

task          start_B    arr_B     rate_B |  start_A    arr_A     rate_A |   dDenom
idle                5        0       0.0% |        1        0       0.0% |       -4
return_home         4        3      75.0% |        5        2      40.0% |       +1
乞食                  1        0       0.0% |        5        1      20.0% |       +4
信使                 45        4       8.9% |       39        4      10.3% |       -6
偵查                 20        2      10.0% |       22       10      45.5% |       +2
外交                 52       12      23.1% |       77        4       5.2% |      +25
安頓                 11        5      45.5% |       29        2       6.9% |      +18
建設                 10        1      10.0% |        6        2      33.3% |       -4
徵收                 15        3      20.0% |       76        8      10.5% |      +61
投靠                  2        0       0.0% |        2        0       0.0% |       +0
掠奪                  1        0       0.0% |        5        0       0.0% |       +4
擴建                  8        7      87.5% |        8        7      87.5% |       +0
攻擊                  1        1     100.0% |        0        0 unjudgeable |       -1
紮營                 24        0       0.0% |        6        0       0.0% |      -18
覓食                  4        0       0.0% |       16        0       0.0% |      +12
貿易                113       30      26.5% |      178       41      23.0% |      +65
迎戰                 18        6      33.3% |       70        5       7.1% |      +52
逃跑                 33        9      27.3% |       72        8      11.1% |      +39
運輸                  7        4      57.1% |       38       22      57.9% |      +31

# ★A【分母沒怎麼變的那一批】（兩邊母體 ≥5 且起算變動 ≤±20%）＝「原本就會出發的那一批」的近似：
#   信使、偵查、擴建
#   ⇒ 到場率：前 17.8% → 後 30.4%（分子/分母：13/73 → 21/69）
# ★★B【新增的 281 趟集中在哪】（起算增量前五）：
#   貿易 +65／徵收 +61／迎戰 +52／逃跑 +39／運輸 +31（外交 +25、安頓 +18）
#   ⇒ ★★★而迎戰(@70) 與逃跑的暴增【有一個機械解釋，不是猜】：
#     舊制下一支【吃飽的覓食】持 80，而 try_set 要求嚴格大於 ⇒ 迎戰@70 連比都不比；
#     這一刀把吃飽的覓食降到 50 ⇒ 威脅反應現在擠得進去。
#   ⇒ ★所以這一刀【不只鬆開求居】，它鬆開了所有被「吃飽的覓食」壓住的東西
#     ★★這是範圍比預期大的變更，我明說、不埋在綠裡。
# ★★★C【誠實限】：A 的分層是用分母穩定度【近似】同一批隊，不是真的追同一支隊的同一趟；
#   真正的 per-team 配對要床記 team_id × 出發 tick，【這一輪沒做】。
