seed=42 total_events=59 distinct_days=5
days_with_event=[8, 9, 10, 11, 12]
--- 原始清單(tick/day/dt_s) ---
  tick=10140 day=8 dt=2.168s
  tick=11580 day=9 dt=2.040s
  tick=11820 day=9 dt=2.298s
  tick=12840 day=9 dt=2.168s
  tick=12900 day=9 dt=2.216s
  tick=13020 day=10 dt=2.378s
  tick=13140 day=10 dt=2.261s
  tick=13320 day=10 dt=2.391s
  tick=13440 day=10 dt=2.181s
  tick=13500 day=10 dt=2.199s
  tick=13560 day=10 dt=2.263s
  tick=13620 day=10 dt=2.427s
  tick=14220 day=10 dt=2.066s
  tick=14460 day=11 dt=2.863s
  tick=14520 day=11 dt=2.795s
  tick=14580 day=11 dt=2.739s
  tick=14640 day=11 dt=2.275s
  tick=14700 day=11 dt=2.162s
  tick=14760 day=11 dt=2.428s
  tick=14820 day=11 dt=2.907s
  tick=14880 day=11 dt=2.069s
  tick=14940 day=11 dt=2.013s
  tick=15000 day=11 dt=2.054s
  tick=15060 day=11 dt=2.175s
  tick=15120 day=11 dt=2.005s
  tick=15180 day=11 dt=2.255s
  tick=15240 day=11 dt=2.074s
  tick=15300 day=11 dt=2.476s
  tick=15360 day=11 dt=2.428s
  tick=15420 day=11 dt=2.739s
  tick=15480 day=11 dt=2.380s
  tick=15540 day=11 dt=2.087s
  tick=15600 day=11 dt=3.106s
  tick=15660 day=11 dt=3.026s
  tick=15720 day=11 dt=3.212s
  tick=15780 day=11 dt=2.168s
  tick=15840 day=11 dt=4.150s
  tick=15900 day=12 dt=3.459s
  tick=15960 day=12 dt=3.307s
  tick=16020 day=12 dt=3.382s
  tick=16080 day=12 dt=2.704s
  tick=16140 day=12 dt=2.244s
  tick=16200 day=12 dt=2.500s
  tick=16380 day=12 dt=2.311s
  tick=16440 day=12 dt=3.007s
  tick=16500 day=12 dt=2.293s
  tick=16560 day=12 dt=2.699s
  tick=16620 day=12 dt=2.875s
  tick=16680 day=12 dt=2.350s
  tick=16740 day=12 dt=2.264s
  tick=16800 day=12 dt=2.536s
  tick=16860 day=12 dt=2.975s
  tick=16920 day=12 dt=2.863s
  tick=16980 day=12 dt=2.579s
  tick=17040 day=12 dt=2.900s
  tick=17100 day=12 dt=3.331s
  tick=17160 day=12 dt=3.780s
  tick=17220 day=12 dt=2.429s
  tick=17280 day=12 dt=2.912s
