=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=101 ===
tick=0 dt_us=73 wall_so_far=0.0s teams=101
tick=9 dt_us=82736700 wall_so_far=82.7s teams=107
tick=19 dt_us=4138219 wall_so_far=86.9s teams=107
tick=29 dt_us=7725827 wall_so_far=94.6s teams=105
tick=79 dt_us=6822343 wall_so_far=102.7s teams=108
tick=89 dt_us=16649765 wall_so_far=119.3s teams=109
tick=99 dt_us=23157745 wall_so_far=142.5s teams=110
tick=109 dt_us=13614480 wall_so_far=156.1s teams=112
tick=119 dt_us=5035927 wall_so_far=161.1s teams=113
tick=129 dt_us=19558003 wall_so_far=180.7s teams=112
tick=139 dt_us=5117081 wall_so_far=185.8s teams=114
tick=149 dt_us=3229499 wall_so_far=189.0s teams=114
tick=159 dt_us=7520594 wall_so_far=196.5s teams=117
tick=169 dt_us=8487878 wall_so_far=205.0s teams=118
tick=179 dt_us=5313239 wall_so_far=210.3s teams=120
tick=189 dt_us=1679174 wall_so_far=212.0s teams=118
tick=199 dt_us=3506580 wall_so_far=215.5s teams=118
tick=209 dt_us=5116007 wall_so_far=220.6s teams=119
tick=219 dt_us=1995450 wall_so_far=222.6s teams=121
tick=239 dt_us=8762945 wall_so_far=231.9s teams=126
tick=249 dt_us=43751087 wall_so_far=275.6s teams=133
tick=259 dt_us=7335633 wall_so_far=283.0s teams=135
tick=269 dt_us=7110431 wall_so_far=290.1s teams=134
tick=279 dt_us=6211941 wall_so_far=296.3s teams=133
tick=289 dt_us=3757541 wall_so_far=300.1s teams=133
tick=299 dt_us=2944034 wall_so_far=303.0s teams=134
tick=309 dt_us=3920830 wall_so_far=306.9s teams=135
tick=319 dt_us=1775099 wall_so_far=308.7s teams=137
tick=329 dt_us=5641190 wall_so_far=314.3s teams=135
tick=339 dt_us=3890015 wall_so_far=318.2s teams=135
tick=349 dt_us=5761271 wall_so_far=324.0s teams=135
tick=359 dt_us=3279903 wall_so_far=327.3s teams=135
tick=369 dt_us=18494375 wall_so_far=345.8s teams=135
tick=379 dt_us=7497091 wall_so_far=353.3s teams=135
tick=389 dt_us=9287310 wall_so_far=362.6s teams=136
tick=399 dt_us=11244978 wall_so_far=373.8s teams=135
tick=409 dt_us=3875330 wall_so_far=377.7s teams=135
tick=419 dt_us=5761243 wall_so_far=383.4s teams=135
tick=429 dt_us=4350980 wall_so_far=387.8s teams=135
tick=439 dt_us=2826396 wall_so_far=390.6s teams=135
tick=449 dt_us=6242887 wall_so_far=396.9s teams=135
tick=459 dt_us=6113272 wall_so_far=403.0s teams=135
tick=469 dt_us=4691861 wall_so_far=407.7s teams=135
tick=479 dt_us=5012738 wall_so_far=412.7s teams=135
tick=489 dt_us=35074178 wall_so_far=447.8s teams=140
tick=499 dt_us=20343229 wall_so_far=468.1s teams=141
tick=500 dt_us=29 wall_so_far=468.1s teams=141
tick=509 dt_us=2694707 wall_so_far=470.8s teams=141
tick=519 dt_us=1845161 wall_so_far=472.6s teams=141
tick=529 dt_us=2982202 wall_so_far=475.6s teams=142
tick=539 dt_us=1759501 wall_so_far=477.4s teams=141
tick=549 dt_us=1691117 wall_so_far=479.1s teams=141
tick=559 dt_us=3080840 wall_so_far=482.1s teams=141
tick=569 dt_us=2999131 wall_so_far=485.1s teams=142
tick=579 dt_us=5065139 wall_so_far=490.2s teams=142
tick=589 dt_us=5944691 wall_so_far=496.2s teams=142
tick=599 dt_us=7292305 wall_so_far=503.5s teams=142
tick=609 dt_us=16568707 wall_so_far=520.0s teams=141
tick=619 dt_us=5216801 wall_so_far=525.2s teams=141
tick=629 dt_us=5792483 wall_so_far=531.0s teams=141
tick=639 dt_us=5239070 wall_so_far=536.3s teams=141
tick=649 dt_us=5662842 wall_so_far=541.9s teams=141
tick=659 dt_us=3897270 wall_so_far=545.8s teams=141
tick=669 dt_us=3764036 wall_so_far=549.6s teams=141
tick=679 dt_us=5523001 wall_so_far=555.1s teams=141
tick=689 dt_us=4460253 wall_so_far=559.6s teams=141
tick=699 dt_us=4992025 wall_so_far=564.6s teams=141
tick=709 dt_us=3047439 wall_so_far=567.6s teams=141
tick=719 dt_us=6714573 wall_so_far=574.3s teams=142
tick=729 dt_us=40174603 wall_so_far=614.5s teams=153
tick=739 dt_us=12878303 wall_so_far=627.4s teams=154
tick=749 dt_us=7998463 wall_so_far=635.4s teams=154
tick=759 dt_us=11331208 wall_so_far=646.7s teams=154
tick=769 dt_us=4558494 wall_so_far=651.3s teams=154
tick=779 dt_us=4227711 wall_so_far=655.5s teams=155
tick=789 dt_us=6688925 wall_so_far=662.2s teams=154
tick=799 dt_us=9204403 wall_so_far=671.4s teams=153
tick=809 dt_us=10493485 wall_so_far=681.9s teams=153
