=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=115 ===
tick=0 dt_us=71 wall_so_far=0.0s teams=115 tiles=469
tick=9 dt_us=26497485 wall_so_far=26.5s teams=122 tiles=469
tick=19 dt_us=1652686 wall_so_far=28.2s teams=121 tiles=469
tick=29 dt_us=7703215 wall_so_far=35.9s teams=125 tiles=469
tick=79 dt_us=6242207 wall_so_far=44.4s teams=124 tiles=469
tick=89 dt_us=7630889 wall_so_far=52.0s teams=126 tiles=469
tick=99 dt_us=13970778 wall_so_far=66.0s teams=126 tiles=469
tick=109 dt_us=7801616 wall_so_far=73.8s teams=127 tiles=469
tick=119 dt_us=4050539 wall_so_far=77.8s teams=127 tiles=469
tick=129 dt_us=8409584 wall_so_far=86.3s teams=127 tiles=469
tick=139 dt_us=7170651 wall_so_far=93.4s teams=128 tiles=469
tick=149 dt_us=8339302 wall_so_far=101.8s teams=130 tiles=469
tick=159 dt_us=10210773 wall_so_far=112.0s teams=129 tiles=469
tick=169 dt_us=13121899 wall_so_far=125.1s teams=130 tiles=469
tick=179 dt_us=6265210 wall_so_far=131.4s teams=129 tiles=469
tick=189 dt_us=6543210 wall_so_far=137.9s teams=129 tiles=469
tick=199 dt_us=13891763 wall_so_far=151.8s teams=129 tiles=469
tick=209 dt_us=5589826 wall_so_far=157.4s teams=128 tiles=469
tick=219 dt_us=2093778 wall_so_far=159.5s teams=128 tiles=469
tick=229 dt_us=2229217 wall_so_far=161.7s teams=128 tiles=469
tick=239 dt_us=13054970 wall_so_far=174.8s teams=137 tiles=469
tick=249 dt_us=25276254 wall_so_far=200.0s teams=141 tiles=469
tick=259 dt_us=4073967 wall_so_far=204.1s teams=141 tiles=469
tick=269 dt_us=7672259 wall_so_far=211.8s teams=141 tiles=469
tick=279 dt_us=9227268 wall_so_far=221.0s teams=140 tiles=469
tick=289 dt_us=9978292 wall_so_far=231.0s teams=141 tiles=469
tick=299 dt_us=13231710 wall_so_far=244.2s teams=141 tiles=469
tick=309 dt_us=9485441 wall_so_far=253.7s teams=142 tiles=469
tick=319 dt_us=8578173 wall_so_far=262.3s teams=143 tiles=469
tick=329 dt_us=6811275 wall_so_far=269.1s teams=143 tiles=469
tick=339 dt_us=6312649 wall_so_far=275.4s teams=143 tiles=469
tick=349 dt_us=9539871 wall_so_far=285.0s teams=144 tiles=469
tick=359 dt_us=7327529 wall_so_far=292.3s teams=144 tiles=469
tick=369 dt_us=13971981 wall_so_far=306.3s teams=144 tiles=469
tick=379 dt_us=5940809 wall_so_far=312.2s teams=144 tiles=469
tick=389 dt_us=7227289 wall_so_far=319.4s teams=143 tiles=469
