# state.teams.has( 存量 baseline（棘輪閘豁免）
# 判準來源：docs/process/teams-has-callsites.tsv 表頭那套（不是重新發明的）
# ★每列帶 owner ＋【觸發條件】＝【那一行被碰到時】(on-touch)；
#   ★★不是日期：日期會過期而沒有人處理，觸發條件不會。
# ★★★[G]（純存在問句）不在本表：本閘本來就不咬它。
# ★key ＝ site ＋ code（正規化文字），**不是行號** —— 行號會漂，文字不會；
#   而動了那一行文字就變 ⇒ 豁免自動蒸發 ＝ on-touch 【機械為真】。
site	code	class	owner	trigger	reason
scripts/simulation/ambush_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @31 var team: TeamData = state.teams[tid]
scripts/simulation/belief_system.gd	if not state.teams.has(sid): continue	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @276 obs_team.update_reputation(sid, TRUST_DELTA)
scripts/simulation/equipment_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @10 var team: TeamData = state.teams[tid]
scripts/simulation/event_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @21 var team: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd	if prey_id == -1 or not state.teams.has(prey_id): return false	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @380 var prey_t: TeamData = state.teams.get(prey_id)
scripts/simulation/faction_ai_system.gd	if prey_id == -1 or not state.teams.has(prey_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @433 _commit_conquest_attack(state, team, prey_id)
scripts/simulation/faction_ai_system.gd	if not state.teams.has(tid): continue	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @623 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd	if not state.teams.has(sub_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @1088 var sub: TeamData = state.teams[sub_id]
scripts/simulation/faction_ai_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @1113 var team: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd	if target_id == -1 or not state.teams.has(target_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @1676 var tgt_pos: Vector2i = BeliefSystem.belief_pos(state, f.leader_team_i
scripts/simulation/faction_ai_system.gd	if not state.teams.has(f.leader_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @1891 var ok: bool = _dispatch_envoy(state, team, f.leader_team_id, "member_
scripts/simulation/faction_ai_system.gd	if target_id == -1 or not state.teams.has(target_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @3778 var join_pos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, 
scripts/simulation/faction_ai_system.gd	if not state.teams.has(tid): continue	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @4331 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd	if state.teams.has(tid) and state.teams[tid].faction_id == -1:	M	systems	on-touch:這一行被碰到時轉 live_team()	if state.teams.has(tid) and state.teams[tid].faction_id == -1:
scripts/simulation/faction_ai_system.gd	if not state.teams.has(tid): continue	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @4392 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @4525 _route_extinct_assets(state, state.teams[tid])
